     N       ID            S1G1            S1G2            S1G3            S2G1            S2G2            S2G3        DETECTOR                    
   374     4488        4574.768        7364.390        3821.007          33.208         917.342        2280.265           S1
   375     4492       13824.694       17732.749        7285.054          48.335        1588.589        3207.325           S1
   376     4493          97.533         315.626         259.527       20672.990       13223.897        2218.303           S2
   377     4496         767.653        2331.773        1246.856        1480.704        4446.943        2613.884           S2
   378     4497       41328.489       38844.966       14253.180         897.239        5214.679        6292.227           S1
   379     4498        4448.802        8190.073        5859.302         314.290        1361.207        2240.419           S1
   380     4500       18667.646       22541.686       10867.034         430.854        5196.887        8218.227           S1
   381     4504       80897.222       20440.549        4726.153        1046.221        4480.963        5317.938           S1
   382     4510          64.970         198.663         118.799        9039.784        6852.005        1124.317           S2
   383     4516         591.858        1686.067         586.670        6058.380        6596.974        1254.212           S2
   384     4536         106.428         275.316         111.626        6371.362        4441.969         648.616           S2
   385     4541        5662.375        8207.313        4181.195         771.639        2735.442        2851.970           S1
   386     4546         362.930         728.385         282.015       11064.548        7507.212        1443.896           S2
   387     4548       15563.033       23962.739       13980.065         547.044        3275.471        5349.441           S1
   388     4552       38527.909       38162.106       13092.001        1749.444        7875.520        6842.668           S1
   389     4553         119.063         213.716         194.459        8537.654        6787.922        1302.823           S2
   390     4565        1339.730        2189.932         743.562       33955.696       23155.960        4051.766           S2
   391     4568      265670.722      223175.073       65131.185        8682.073       39787.930       35174.991           S1
   392     4569        4701.587        9163.936        5426.779        1468.900        4867.103        4527.158           S1
   393     4572         433.018         511.546          93.826        1721.217        3014.437         811.715           S2
   394     4574          51.678         559.585         293.539       11085.751       12977.375        3124.905           S2
   395     4579        5813.863        5976.661        2129.849         445.186         419.925         364.542           S1
   396     4581       12493.721       15515.718        5971.454           3.240         344.965        1318.587           S1
   397     4583         582.415        1732.915         496.561        4952.483        4567.135        1428.858           S2
   398     4584         298.903         363.617         205.306        1593.554        2270.399        1531.089           S2
   399     4589         701.640        3207.916        2383.108       25080.370       30624.349        8297.561           S2
   400     4592          26.865         102.036         138.563        1193.658        1793.208        1173.732           S2
   401     4598      116969.487       90902.014       28975.088         507.681        4572.080        8903.788           S1
   402     4599         305.669        1628.946        1821.493        5505.833        9967.396        6990.857           S2
   403     4602          81.372         340.762         238.500        2777.382        4712.088        1753.750           S2
   404     4603       36756.933       49766.098       24992.459         269.481        2933.904        6559.346           S1
   405     4612        1972.979        5042.756        1244.636        9164.125       16097.020        4060.039           S2
   406     4615         372.871        1901.727        1820.574        5534.388       12551.019        7082.448           S2
   407     4619        1164.278        3434.706        2103.226       17219.290       20113.010        7186.211           S2
   408     4621        1636.792        4968.193        3210.823        4093.330       11202.264        6765.230           S2
   409     4622        8668.132        8474.637        1262.485         486.323        1246.998         340.416           S1
   410     4623          2S1         425.030         474.143        2239.453        3317.918        1294.766           S2
   411     4625         370.642        3203.632        1990.270       25766.898       27153.657        8219.181           S2
   412     4627         587.319        1653.194        1067.818        1592.271        4004.143        2087.991           S2
   413     4628         352.895         992.330         973.114         510.968        1711.788        1753.681           S2
   414     4631        7494.944       11255.752        3321.267          48.631         272.607         535.144           S1
   415     4632       15496.896       20739.659       10780.781        3417.938       10229.979        8954.524           S1
   416     4633         271.756        1060.337         308.368        8715.215       10369.977        2498.047           S2
   417     4635          85.131         610.751         219.806       14566.334       13093.100        3894.384           S2
   418     4644        2379.353        2733.045        1125.536         584.563        1891.865         935.210           S1
   419     4647        1034.381        4931.907        2892.527       10526.515       21855.475        9896.975           S2
   420     4648       20581.561       22199.965        7985.524        2544.874        8512.780        6165.669           S1
   421     4653        2227.866        4828.416        3549.886          42.558         271.836         633.819           S1
   422     4654        1440.340        1686.412         593.130          15.761         103.080         154.706           S1
   423     4660          70.810         202.161         101.547        5835.261        4499.619         807.349           S2
   424     4661        6636.256        6766.171        1331.542         490.180         499.318         223.389           S1
   425     4662        9683.989       11391.073        4226.631        1411.634        1791.930        1423.143           S1
   426     4668          65.696         431.259         272.518        5397.184        8995.812        2094.923           S2
   427     4674        2174.508        4806.159        3489.482         588.264        1027.627        1133.817           S1
   428     4676       32715.095       48469.066       24584.873       23617.696       46956.812       29805.859           S2
   429     4682       39796.765       20592.130        3777.990         965.907        3079.054        1594.720           S1
   430     4694         269.930        1506.968        1263.999        2425.062        4902.928        2635.393           S2
   431     4696       24290.696       37555.633       15347.209       21846.543       45209.260       21191.124           S2
   432     4703        2222.770        5580.583        2463.988        1739.320        5736.948        3507.150           S2
   433     4708       14846.979       26242.699       11523.296         952.672        6954.672        7704.592           S1
   434     4707        4679.286       23622.753       23495.862      112389.519      171237.294       89490.494           S2
   435     4710        2001.836        2873.569        1655.148         153.391         408.865         518.398           S1
   436     4713       22084.600        9446.261        2333.572         306.495         487.612         352.287           S1
   437     4717        5056.659        7730.807        4156.440         119.493         781.245        1313.508           S1
   438     4719        6502.119       11382.948        4739.928          91.685        1184.919        1806.493           S1
   439     4728       43373.788       37598.255        8370.323       39982.132       46365.503       12883.445           S2
   440     4730        1059.668        1696.466         532.696        9787.335        7216.432        1977.494           S2
   441     4732       25395.879       34700.721       21594.042        5183.742       15839.738       17088.064           S1
   442     4734       54051.908       37429.945        4147.031         267.484        1549.556         773.602           S1
   443     4735        4351.731        5261.090        1234.662        2180.857        4473.725        1903.826           S2
   444     4738         223.207        1150.507        1016.752       10736.948       16246.243        6890.755           S2
   445     4739         259.902         551.516         241.939       12822.943       10355.829        1840.723           S2
   446     4740        3009.132        2382.891         641.672        2019.635        3492.298         923.060           S2
   447     4742        1347.097        1492.583         304.026          64.212         319.814         185.521           S1
   448     4743       71540.178       94861.365       54122.244        1471.779       10887.386       20795.482           S1
   449     4745       11163.740       10877.756        3753.879        1904.197        4813.297        2904.683           S1
   450     4746          95.683          52.449          26.471        1941.150         769.503         230.034           S2
   451     4747         177.842         371.567         182.284        4543.408        3940.977        1693.698           S2
   452     4750       35767.842       59432.804       39364.328        4937.228       20846.914       27646.839           S1
   453     4752        1870.330        3204.655        1803.106        1298.727        3095.046        2140.319           S1
   454     4753         102.435        1189.271        1164.746        7336.994       16443.721        7538.853           S2
   455     4754          15.570         618.298         641.109        9308.739       12946.407        5150.354           S2
   456     4760        2520.320        1454.259         254.594          18.939          58.656          55.169           S1
   457     4761       17908.850       35786.518       19818.585         245.645        3018.549        6195.869           S1
   458     4769        9927.158        6698.408        2059.493         230.653         639.015         394.884           S1
   459     4771          43.587         279.824         377.200        5660.781        6556.655        1815.591           S2
   460     4784         437.113        2603.065        2544.216       29148.366       36365.699       14715.499           S2
   461     4787        6220.341        8747.879        2295.960         215.927        1402.592        1050.117           S1
   462     4789       25106.517       15652.334        2191.868         227.161         693.465         594.319           S1
   463     4791        8327.708       26164.448       21909.629       33902.762       61562.245       40413.937           S2
   464     4792       20084.540       27347.214       11313.824         690.389        3989.910        4723.650           S1
