     N       ID            S1G1            S1G2            S1G3            S2G1            S2G2            S2G3        DETECTOR                    
    87     3025          47.807         143.277          69.339        1909.997        1827.493         459.224           S2
    88     3029         482.877        2062.833         992.028        7532.884       11527.511        3498.866           S2
    89     3030         658.085        3865.082        2920.286        9704.159       19803.824        8970.360           S2
    90     3032        1096.412        2940.032        2502.347         654.279        2052.188        1739.129           S1
    91     3038        2143.243        1903.185         568.620          85.498         201.560         151.177           S1
    92     3040        3963.884        8732.025        4785.001        3955.849       10631.846        6539.608           S2
    93     3041       21452.422       29648.488       10988.993          89.739        1827.801        3237.675           S1
    94     3045         242.439         714.572         340.034        1492.332        2949.271        1140.501           S2
    95     3064        1604.117        4387.217        1889.014        6124.987       11011.489        3723.829           S2
    96     3062        4648.647        3167.339         359.418         204.144         220.225         119.432           S1
    97     3067       17186.430       21479.864       10777.801          86.125         503.807        1225.953           S1
    98     3068        2739.600        2788.510         573.211         531.007         410.993         153.072           S1
    99     3071         199.640         648.600         280.681        1414.376        2651.796        1002.111           S2
   100     3072         145.739         177.400         151.760        1355.456        1969.853         591.056           S2
   101     3075          63.541          59.273          50.889        1402.158        2121.065         752.322           S2
   102     3084        4837.856        5776.457        2167.474          32.111         214.220         213.798           S1
   103     3087         246.662         274.186         154.111        2651.323        3831.387        1681.679           S2
   104     3090          79.872         806.113         833.345       21655.535       22685.738        6620.001           S2
   105     3095       17338.299       13973.035        1485.011         749.709        2797.039        1084.437           S1
   106     3096        3963.002        3957.674        1262.966          72.598         476.132         482.720           S1
   107     3097         225.056         545.803         494.421        7049.168       11140.384        5042.327           S2
   108     3101         455.455        2544.483        1864.566        1729.091        5388.483        3221.761           S2
   109     3120       31327.599       31169.834        7975.645         221.103         748.194         877.439           S1
   110     3129        1354.560        3396.038        2278.167        1308.468        4020.932        2947.498           S2
   111     3142         706.842        3348.058        3039.448       12757.654       24103.469       11914.113           S2
   112     3145         393.174         827.991         176.668        1125.991        1994.828         489.316           S2
   113     3149        3307.105        6225.867        2511.422         103.136         775.531         808.209           S1
   114     3151        2926.891        7668.370        5992.396       14393.736       28539.468       14175.095           S2
   115     3153       10876.811       13754.176        7364.462         209.093         709.354        1119.341           S1
   116     3156         434.530         721.415         387.311        5809.614        6550.224        1528.876           S2
   117     3157        5067.935        9425.408        5465.956         214.474        1547.309        2291.370           S1
   118     3160       13785.606       32883.153       12501.135       38037.631       72430.705       26605.775           S2
   119     3166         545.152        1044.661         486.559       12325.028       12629.983        1639.143           S2
   120     3168        1071.483        3659.409        1060.803       10117.071       15891.066        3405.443           S2
   121     3190         854.592        3306.536        2559.526      146934.528      106309.858       24014.250           S2
   122     3193       26442.435       24697.060        7577.055         925.501        3994.772        3560.109           S1
   123     3195         368.918        1480.258        1363.189       21524.226       27843.272        9724.475           S2
   124     3198         223.448         245.941         163.769        5632.502        4873.017         990.849           S2
   125     3202        1558.040        2249.170        1447.985          98.173         404.492         562.087           S1
   126     3210        1171.270        3147.316        2166.755         467.893        1806.002        1836.571           S1
   127     3214          39.610         119.214          76.758         459.851         572.189         160.438           S2
   128     3218         765.121        1396.571         413.841         190.272         149.197          56.364           S1
   129     3219         167.126         498.564         395.801        5491.084        4843.396        1377.839           S2
   130     3228       30617.579       47915.117       21367.910         261.719        3241.784        5470.654           S1
   131     3230         453.085        1583.632        1314.346          80.077         287.900         342.491           S1
   132     3231        1024.032        1644.059         565.553         101.283         572.852         461.176           S1
   133     3232         116.365         597.526         532.418        9035.083       11161.014        4426.669           S2
   134     3234        1763.873        1829.604         310.631        1696.340        2630.962         636.151           S2
   135     3237          37.493         250.863         192.004        2914.965        2659.846         900.430           S2
   136     3248        5182.859        6343.685         984.858        3818.070        6499.305        1855.725           S2
   137     3251       12977.094        6018.430         919.095         379.485         924.608         508.527           S1
   138     3259        4280.876        4559.457        1347.855          36.760         362.389         398.022           S1
   139     3261          38.273         765.880        1354.356        3569.013        6950.943        4590.760           S2
   140     3265        7097.513       14036.700        7499.930         512.575        3147.795        3786.548           S1
   141     3286         248.404         538.220         168.300          12.880         146.571         181.323           S1
   142     3294        1666.021        7213.003        5813.992        3799.798       13235.178       10634.738           S2
   143     3297        2396.634        5265.668        4640.899        2034.030        5509.698        5416.847           S1
   144     3307          29.591         462.831         537.743        7357.639        8135.549        2985.117           S2
   145     3310        3683.041        6334.691        4354.614         118.396         637.376        1177.476           S1
   146     3312       25100.751       15032.608        3227.536         843.109        2753.132        1210.081           S1
   147     3320        1940.050        2575.106         831.277          28.599         245.474         319.406           S1
   148     3328        1669.305        5343.304        5782.705       45216.053       66037.194       31112.132           S2
   149     3329       20819.633       38861.490       18337.368        1148.349        6891.423        7945.324           S1
   150     3336        5189.684        6173.772        1121.529         810.167        2452.342         988.459           S1
   151     3342       18117.635       30383.059       14567.545       16493.187       31688.350       17921.254           S2
   152     3345        1467.045        1899.963         506.318        2283.418        3629.684        1260.153           S2
   153     3346        1413.935         774.521         229.029       11338.023        9301.810        2199.036           S2
   154     3353        2848.393        4127.934        1271.938        2379.723        4809.392        1522.473           S1
   155     3357          88.983          55.868          32.304         219.884         377.390         255.491           S2
   156     3361        7408.308       11019.176        6390.302        1585.687        5137.581        5075.979           S1
   157     3364       29048.957       24636.394        5795.378         843.457        2774.559        1940.656           S1
   158     3369          22.985          33.996          33.364         847.700         818.694         172.317           S2
   159     3370        3442.151        4274.411        1755.457         558.883         767.812         452.052           S1
   160     3379          48.616         198.731         136.639        2865.436        3994.180        1498.490           S2
   161     3391         795.566        1828.277        1148.587        9700.820       12493.472        4004.275           S2
   162     3402         445.871         540.547         171.329        5598.493        3857.260         911.134           S2
   163     3430        1633.463        1301.453         830.776        3374.352        5691.385        3156.661           S2
   164     3432         270.461         248.703         164.598        4175.137        2913.067        1255.543           S2
   165     3436       11804.270        3141.499         417.067         135.390         329.741         201.983           S1
   166     3440         257.183        1614.178         690.144       31903.290       42688.028        8523.466           S2
   167     3442         308.929        1057.211         568.908        6695.305        9148.715        2554.253           S2
   168     3462         199.251         677.739         393.281       13063.464       13115.408        3197.020           S2
   169     3469         436.364        3182.097        1849.518       19208.970       24759.415        6896.173           S2
   170     3477          52.321         597.692         567.854        8808.236       11881.973        4401.854           S2
   171     3478        6046.729        8456.400        3162.339         223.094        2180.232        2423.328           S1
   172     3480        9021.284        8687.587        1796.776         310.825        1399.513         709.773           S1
   173     3484        5646.778        8372.825        4950.548         265.113        1905.258        2954.214           S1
   174     3487        1576.734        3579.794        1620.944         606.625        1760.761        1249.106           S1
   175     3493         562.445        1198.400         963.566           8.039         228.426         552.707           S1
   176     3502       48582.506       49550.476       21430.327          72.378        2319.174        7187.830           S1
   177     3509         194.855         830.694        1002.579        6679.003        9448.963        4295.133           S2
   178     3535        7708.705        3916.262         929.883          95.893         367.698         393.762           S1
   179     3549         226.570         917.643         470.779        3608.768        5665.486        2267.531           S2
   180     3570        1607.709        1109.853         169.240        1301.944        1644.903         207.460           S2
   181     3572          87.377         411.796         258.935        3998.140        3774.063        1439.809           S2
   182     3575       12886.048       14040.361        4623.949         792.101        3431.385        2576.235           S1
   183     3586        5037.601        4189.331         914.736        1881.712        2784.981         815.812           S1
   184     3605         219.691         865.168         640.164        6228.158        9246.649        4403.748           S2
   185     3615          50.735         559.484         504.087        2168.598        3492.945        1683.450           S2
   186     3639       12047.467       19028.209        9333.267       10810.263       26991.221       16584.233           S2
   187     3645        1826.697        2379.674         928.784         288.910         749.057         551.784           S1
   188     3664       36184.706       43291.649       27500.443          36.484         810.598        3542.492           S1
   189     3666         411.588         442.110         436.757        7113.057        5173.169        1349.191           S2
   190     3669      154689.889       66745.649        9372.366         115.153         730.595         519.737           S1
   191     3691          34.306         262.315         389.244        4954.270        5737.341        2037.739           S2
   192     3693        3631.703        5159.474        1540.552         106.851         735.633         678.949           S1
   193     3717        2060.158        3755.480         985.151        9236.299       16654.037        4830.105           S2
   194     3722          87.581          65.864          43.688        6279.962        4206.346         382.712           S2
   195     3725       11918.462       17240.215        7582.507        2869.956        7693.923        5997.988           S1
   196     3743        1188.904        1274.396         176.496         762.771        1407.718         306.812           S2
