         №                       ID                 DETECTOR           SnontrG1_StrG1           SnontrG2_StrG2           SnontrG3_StrG3       SnontrG2G3_StrG2G3       SnontrG1G2_StrG1G2   SnontrG1G2G3_StrG1G2G3              StrG2_StrG1              StrG3_StrG2                         
       263                     4020                       S1                    0.592                    0.989                    1.140                    1.004                    0.763                    0.781                    0.760                    0.115
       264                     4022                       S2                    0.345                    0.511                    0.458                    0.496                    0.455                    0.456                    1.974                    0.369
       265                     4028                       S1                    0.101                    0.154                    0.106                    0.149                    0.119                    0.118                    0.498                    0.130
       266                     4029                       S1                    0.084                    0.302                    1.220                    0.342                    0.165                    0.182                    0.589                    0.045
       267                     4030                       S2                    0.461                    0.749                    0.657                    0.721                    0.662                    0.661                    2.320                    0.441
       268                     4031                       S2                    0.197                    0.414                    0.293                    0.376                    0.335                    0.326                    1.765                    0.457
       269                     4033                       S2                    0.352                    0.313                    0.482                    0.316                    0.332                    0.333                    1.028                    0.021
       270                     4035                       S2                    0.015                    0.043                    0.200                    0.057                    0.027                    0.034                    0.762                    0.098
       271                     4036                       S2                    0.739                    0.667                    0.565                    0.650                    0.697                    0.683                    1.431                    0.200
       272                     4037                       S2                    0.042                    0.108                    0.495                    0.126                    0.077                    0.087                    1.109                    0.049
       273                     4038                       S2                    0.307                    0.434                    0.543                    0.445                    0.376                    0.386                    1.183                    0.122
       274                     4043                       S1                    0.076                    0.332                    0.887                    0.357                    0.177                    0.189                    0.646                    0.047
       275                     4057                       S1                    0.022                    0.056                    0.276                    0.088                    0.035                    0.051                    0.687                    0.170
       276                     4063                       S1                    0.014                    0.027                    0.475                    0.042                    0.018                    0.023                    0.456                    0.036
       277                     4102                       S1                    0.548                    0.772                    1.020                    0.848                    0.697                    0.770                    1.973                    0.444
       278                     4107                       S1                    0.046                    0.218                    0.650                    0.261                    0.145                    0.174                    1.328                    0.108
       279                     4110                       S2                    0.025                    0.091                    0.297                    0.102                    0.058                    0.065                    1.009                    0.057
       280                     4113                       S1                    0.033                    0.048                    0.185                    0.075                    0.039                    0.052                    0.669                    0.239
       281                     4115                       S1                    0.070                    0.122                    0.228                    0.133                    0.095                    0.103                    0.966                    0.116
       282                     4119                       S1                    0.322                    0.599                    0.888                    0.665                    0.484                    0.544                    1.415                    0.295
       283                     4122                       S1                    0.955                    0.902                    1.713                    1.005                    0.928                    0.982                    1.037                    0.146
       284                     4124                       S1                    0.213                    0.589                    1.100                    0.629                    0.385                    0.412                    0.846                    0.087
       285                     4125                       S1                    0.054                    0.264                    0.686                    0.286                    0.128                    0.139                    0.544                    0.055
       286                     4126                       S2                    0.051                    0.128                    0.151                    0.132                    0.094                    0.099                    1.213                    0.179
       287                     4129                       S1                    0.375                    0.684                    0.846                    0.742                    0.558                    0.629                    1.445                    0.555
       288                     4130                       S2                    0.030                    0.037                    0.153                    0.050                    0.033                    0.040                    0.897                    0.125
       289                     4148                       S2                    0.017                    0.062                    0.220                    0.080                    0.038                    0.048                    0.853                    0.123
       290                     4153                       S2                    0.021                    0.077                    0.125                    0.085                    0.053                    0.062                    1.410                    0.218
       291                     4160                       S2                    0.065                    0.163                    0.330                    0.178                    0.104                    0.113                    0.669                    0.105
       292                     4161                       S2                    0.016                    0.056                    0.121                    0.061                    0.029                    0.031                    0.466                    0.078
       293                     4167                       S2                    0.010                    0.064                    0.211                    0.087                    0.036                    0.050                    0.921                    0.185
       294                     4169                       S1                    0.038                    0.223                    0.611                    0.291                    0.135                    0.182                    1.090                    0.213
       295                     4178                       S2                    1.104                    0.824                    0.671                    0.796                    0.930                    0.898                    1.642                    0.226
       296                     4179                       S1                    0.250                    0.670                    0.988                    0.716                    0.483                    0.527                    1.248                    0.169
       297                     4190                       S1                    0.730                    0.952                    1.108                    0.999                    0.869                    0.919                    1.673                    0.426
       298                     4195                       S1                    0.031                    0.075                    0.347                    0.125                    0.059                    0.096                    1.844                    0.226
       299                     4197                       S2                    0.025                    0.086                    1.046                    0.115                    0.048                    0.059                    0.596                    0.031
       300                     4202                       S1                    0.667                    0.885                    1.412                    0.938                    0.753                    0.782                    0.659                    0.112
       301                     4214                       S1                    0.021                    0.071                    0.245                    0.092                    0.041                    0.052                    0.680                    0.139
       302                     4216                       S1                    0.040                    0.039                    0.220                    0.085                    0.039                    0.066                    1.049                    0.340
       303                     4218                       S1                    0.012                    0.087                    0.125                    0.091                    0.042                    0.046                    0.664                    0.131
       304                     4221                       S2                    0.872                    0.834                    0.637                    0.778                    0.845                    0.800                    2.337                    0.397
       305                     4222                       S2                    0.381                    0.508                    0.525                    0.511                    0.461                    0.469                    1.698                    0.241
       306                     4230                       S2                    0.655                    0.527                    0.291                    0.503                    0.598                    0.583                    0.801                    0.114
       307                     4234                       S1                    0.002                    0.260                    0.565                    0.304                    0.120                    0.152                    0.850                    0.167
       308                     4239                       S1                    0.033                    0.115                    0.562                    0.150                    0.067                    0.084                    0.727                    0.085
       309                     4242                       S1                    0.071                    0.168                    0.483                    0.219                    0.123                    0.158                    1.182                    0.194
       310                     4243                       S1                    0.045                    0.173                    0.290                    0.211                    0.134                    0.172                    2.223                    0.473
       311                     4260                       S2                    0.025                    0.082                    0.308                    0.133                    0.049                    0.078                    0.738                    0.290
       312                     4263                       S1                    0.161                    0.504                    0.806                    0.536                    0.307                    0.331                    0.740                    0.118
       313                     4266                       S2                    0.016                    0.096                    0.502                    0.161                    0.045                    0.074                    0.561                    0.192
       314                     4276                       S1                    0.059                    0.330                    1.184                    0.395                    0.176                    0.211                    0.761                    0.083
       315                     4286                       S2                    0.007                    0.066                    0.186                    0.084                    0.032                    0.043                    0.741                    0.178
       316                     4288                       S1                    0.113                    0.409                    0.778                    0.463                    0.268                    0.310                    1.109                    0.171
       317                     4289                       S1                    0.010                    0.026                    0.158                    0.037                    0.016                    0.021                    0.591                    0.093
       318                     4292                       S1                    0.458                    0.705                    0.765                    0.712                    0.566                    0.576                    0.779                    0.127
       319                     4294                       S2                    0.041                    0.188                    0.414                    0.204                    0.095                    0.104                    0.581                    0.074
       320                     4299                       S1                    0.170                    0.370                    0.743                    0.463                    0.278                    0.350                    1.182                    0.333
       321                     4306                       S1                    0.247                    0.903                    0.119                    0.774                    0.495                    0.469                    0.608                    0.198
       322                     4308                       S2                    0.794                    0.688                    0.625                    0.684                    0.730                    0.726                    1.503                    0.076
       323                     4314                       S1                    0.075                    0.265                    0.319                    0.276                    0.160                    0.176                    0.803                    0.254
       324                     4319                       S1                    0.036                    0.114                    0.344                    0.135                    0.071                    0.083                    0.822                    0.103
       325                     4326                       S2                    0.220                    0.359                    0.376                    0.360                    0.310                    0.314                    1.871                    0.100
       326                     4330                       S1                    0.111                    0.292                    0.405                    0.300                    0.182                    0.188                    0.643                    0.069
       327                     4332                       S1                    0.005                    0.062                    0.272                    0.084                    0.029                    0.040                    0.735                    0.117
       328                     4333                       S1                    0.135                    0.217                    1.127                    0.267                    0.172                    0.196                    0.811                    0.059
       329                     4334                       S2                    0.368                    0.439                    0.489                    0.445                    0.404                    0.410                    1.053                    0.151
       330                     4341                       S2                    0.013                    0.075                    0.186                    0.096                    0.044                    0.059                    1.015                    0.237
       331                     4355                       S2                    2.275                    1.126                    0.556                    1.048                    1.545                    1.455                    1.740                    0.158
       332                     4361                       S2                    0.026                    0.105                    0.220                    0.130                    0.068                    0.087                    1.136                    0.272
       333                     4364                       S2                    0.193                    0.287                    0.352                    0.302                    0.251                    0.268                    1.637                    0.315
       334                     4370                       S2                    0.170                    0.024                    0.170                    0.044                    0.103                    0.107                    0.863                    0.155
       335                     4372                       S2                    0.021                    0.065                    0.164                    0.082                    0.043                    0.054                    0.973                    0.200
       336                     4375                       S2                    4.405                    1.239                    0.762                    1.087                    1.805                    1.515                    4.588                    0.469
       337                     4377                       S2                    0.011                    0.069                    0.109                    0.073                    0.036                    0.040                    0.788                    0.104
       338                     4387                       S2                    0.023                    0.058                    0.059                    0.058                    0.041                    0.043                    1.101                    0.119
       339                     4388                       S1                    0.048                    0.244                    0.768                    0.278                    0.109                    0.123                    0.446                    0.070
       340                     4390                       S2                    0.074                    0.164                    0.270                    0.190                    0.124                    0.146                    1.249                    0.315
       341                     4394                       S1                    0.041                    0.186                    0.521                    0.259                    0.125                    0.180                    1.360                    0.279
       342                     4396                       S2                    0.009                    0.082                    0.270                    0.115                    0.048                    0.071                    1.152                    0.213
       343                     4404                       S1                    0.024                    0.108                    0.430                    0.128                    0.055                    0.064                    0.589                    0.066
       344                     4405                       S1                    0.689                    1.081                    1.234                    1.101                    0.857                    0.880                    0.752                    0.147
       345                     4408                       S2                    0.139                    0.380                    0.357                    0.377                    0.261                    0.269                    1.017                    0.180
       346                     4409                       S2                    0.060                    0.075                    0.144                    0.082                    0.066                    0.070                    0.740                    0.109
       347                     4411                       S1                    0.013                    0.040                    0.197                    0.053                    0.024                    0.030                    0.620                    0.092
       348                     4412                       S1                    0.081                    0.389                    0.853                    0.439                    0.203                    0.233                    0.655                    0.122
       349                     4417                       S2                    0.021                    0.101                    0.206                    0.117                    0.060                    0.072                    0.947                    0.177
       350                     4418                       S1                    0.285                    0.795                    0.537                    0.782                    0.423                    0.424                    0.369                    0.052
       351                     4420                       S2                    0.028                    0.054                    0.608                    0.094                    0.040                    0.058                    0.788                    0.076
       352                     4422                       S2                    0.371                    0.374                    0.721                    0.407                    0.372                    0.388                    0.802                    0.104
       353                     4426                       S2                    0.116                    0.194                    0.187                    0.193                    0.156                    0.157                    1.072                    0.062
       354                     4428                       S1                    0.262                    0.614                    1.179                    0.652                    0.444                    0.470                    1.070                    0.072
       355                     4431                       S2                    0.023                    0.037                    0.107                    0.043                    0.028                    0.030                    0.558                    0.093
       356                     4438                       S1                    0.030                    0.255                    0.627                    0.357                    0.160                    0.243                    1.353                    0.374
       357                     4443                       S1                    0.030                    0.181                    0.660                    0.216                    0.091                    0.108                    0.676                    0.078
       358                     4444                       S1                    0.064                    0.227                    0.670                    0.303                    0.135                    0.179                    0.766                    0.208
       359                     4447                       S2                    0.220                    0.356                    0.279                    0.344                    0.266                    0.267                    0.514                    0.180
       360                     4449                       S2                    0.010                    0.077                    0.122                    0.085                    0.046                    0.054                    1.138                    0.235
       361                     4451                       S1                    0.059                    0.119                    1.266                    0.162                    0.083                    0.102                    0.688                    0.039
       362                     4452                       S1                    0.064                    0.433                    0.634                    0.451                    0.210                    0.226                    0.656                    0.099
       363                     4453                       S1                    0.019                    0.035                    0.223                    0.048                    0.025                    0.030                    0.545                    0.071
       364                     4454                       S1                    0.045                    0.235                    0.635                    0.293                    0.137                    0.174                    0.926                    0.171
       365                     4455                       S2                    0.138                    0.287                    0.353                    0.299                    0.228                    0.243                    1.515                    0.229
       366                     4459                       S2                    0.381                    0.473                    0.515                    0.485                    0.438                    0.453                    1.640                    0.407
       367                     4462                       S2                    0.029                    0.105                    0.201                    0.118                    0.072                    0.082                    1.317                    0.149
       368                     4465                       S2                    0.115                    0.237                    0.251                    0.240                    0.192                    0.200                    1.703                    0.269
       369                     4468                       S2                    0.011                    0.070                    0.136                    0.076                    0.031                    0.034                    0.491                    0.097
       370                     4470                       S2                    0.405                    0.683                    0.571                    0.645                    0.616                    0.604                    3.168                    0.511
       371                     4471                       S2                    0.438                    0.534                    0.654                    0.560                    0.498                    0.521                    1.689                    0.277
       372                     4479                       S1                    0.416                    0.759                    1.174                    0.819                    0.604                    0.652                    1.211                    0.170
       373                     4480                       S1                    0.763                    0.988                    1.189                    1.047                    0.908                    0.967                    1.809                    0.411
       374                     4488                       S1                    0.031                    0.322                    0.760                    0.391                    0.184                    0.235                    1.104                    0.187
       375                     4492                       S1                    0.019                    0.246                    0.495                    0.277                    0.125                    0.148                    0.875                    0.144
       376                     4493                       S2                    0.008                    0.040                    0.203                    0.052                    0.019                    0.023                    0.484                    0.077
       377                     4496                       S2                    0.525                    0.515                    0.445                    0.502                    0.518                    0.508                    2.072                    0.239
       378                     4497                       S1                    0.056                    0.269                    0.571                    0.308                    0.143                    0.167                    0.688                    0.148
       379                     4498                       S1                    0.108                    0.253                    0.577                    0.326                    0.191                    0.246                    1.343                    0.292
       380                     4500                       S1                    0.077                    0.491                    0.787                    0.541                    0.273                    0.318                    0.895                    0.203
       381                     4504                       S1                    0.056                    0.628                    0.939                    0.691                    0.170                    0.207                    0.247                    0.255
       382                     4510                       S2                    0.012                    0.045                    0.167                    0.053                    0.023                    0.027                    0.539                    0.065
       383                     4516                       S2                    0.139                    0.326                    0.524                    0.339                    0.218                    0.227                    0.731                    0.068
       384                     4536                       S2                    0.027                    0.092                    0.233                    0.099                    0.048                    0.051                    0.485                    0.055
       385                     4541                       S1                    0.217                    0.494                    0.895                    0.557                    0.356                    0.402                    1.005                    0.185
       386                     4546                       S2                    0.049                    0.130                    0.220                    0.138                    0.077                    0.081                    0.513                    0.088
       387                     4548                       S1                    0.071                    0.244                    0.539                    0.299                    0.162                    0.202                    1.101                    0.226
       388                     4552                       S1                    0.103                    0.363                    0.612                    0.390                    0.208                    0.227                    0.684                    0.121
       389                     4553                       S2                    0.018                    0.048                    0.364                    0.071                    0.029                    0.038                    0.572                    0.079
       390                     4565                       S2                    0.057                    0.127                    0.223                    0.133                    0.079                    0.082                    0.475                    0.064
       391                     4568                       S1                    0.087                    0.359                    0.702                    0.388                    0.185                    0.201                    0.557                    0.091
       392                     4569                       S1                    0.419                    0.689                    1.032                    0.739                    0.567                    0.607                    1.218                    0.171
       393                     4572                       S2                    0.217                    0.147                    0.097                    0.144                    0.181                    0.178                    1.066                    0.081
       394                     4574                       S2                    0.012                    0.068                    0.077                    0.069                    0.037                    0.038                    0.782                    0.085
       395                     4579                       S1                    0.092                    0.072                    0.773                    0.145                    0.084                    0.115                    0.690                    0.117
       396                     4581                       S1                    0.003                    0.101                    0.321                    0.124                    0.047                    0.060                    0.800                    0.117
       397                     4583                       S2                    0.201                    0.438                    0.196                    0.406                    0.300                    0.294                    0.716                    0.152
       398                     4584                       S2                    0.177                    0.150                    0.124                    0.143                    0.162                    0.155                    1.205                    0.403
       399                     4589                       S2                    0.046                    0.158                    0.390                    0.179                    0.097                    0.110                    0.842                    0.103
       400                     4592                       S2                    0.032                    0.077                    0.142                    0.095                    0.057                    0.072                    1.252                    0.378
       401                     4598                       S1                    0.016                    0.144                    0.554                    0.190                    0.062                    0.084                    0.569                    0.127
       402                     4599                       S2                    0.085                    0.212                    0.248                    0.222                    0.160                    0.177                    1.470                    0.383
       403                     4602                       S2                    0.041                    0.094                    0.159                    0.102                    0.070                    0.076                    1.182                    0.149
       404                     4603                       S1                    0.023                    0.142                    0.417                    0.185                    0.081                    0.108                    0.949                    0.185
       405                     4612                       S2                    0.255                    0.327                    0.257                    0.322                    0.292                    0.291                    1.072                    0.077
       406                     4615                       S2                    0.091                    0.190                    0.286                    0.209                    0.152                    0.170                    1.642                    0.246
       407                     4619                       S2                    0.097                    0.218                    0.311                    0.232                    0.154                    0.166                    0.892                    0.170
       408                     4621                       S2                    0.416                    0.456                    0.481                    0.461                    0.442                    0.448                    1.915                    0.248
       409                     4622                       S1                    0.096                    0.209                    0.309                    0.211                    0.132                    0.134                    0.473                    0.022
       410                     4623                       S2                    0.027                    0.224                    0.351                    0.242                    0.129                    0.148                    1.090                    0.173
       411                     4625                       S2                    0.034                    0.180                    0.201                    0.183                    0.099                    0.105                    0.793                    0.139
       412                     4627                       S2                    0.381                    0.439                    0.576                    0.462                    0.418                    0.436                    1.725                    0.206
       413                     4628                       S2                    0.644                    0.559                    0.574                    0.564                    0.583                    0.581                    2.565                    0.498
       414                     4631                       S1                    0.012                    0.058                    0.676                    0.094                    0.033                    0.050                    0.806                    0.062
       415                     4632                       S1                    0.339                    0.675                    0.914                    0.716                    0.504                    0.542                    0.965                    0.204
       416                     4633                       S2                    0.052                    0.123                    0.090                    0.121                    0.084                    0.084                    0.817                    0.091
       417                     4635                       S2                    0.014                    0.063                    0.030                    0.058                    0.034                    0.034                    0.708                    0.151
       418                     4644                       S1                    0.451                    0.869                    0.526                    0.825                    0.637                    0.630                    0.797                    0.147
       419                     4647                       S2                    0.138                    0.266                    0.266                    0.266                    0.214                    0.219                    1.436                    0.180
       420                     4648                       S1                    0.230                    0.589                    0.869                    0.619                    0.381                    0.404                    0.726                    0.120
       421                     4653                       S1                    0.033                    0.101                    0.346                    0.151                    0.074                    0.110                    1.468                    0.256
       422                     4654                       S1                    0.027                    0.134                    0.497                    0.170                    0.073                    0.092                    0.757                    0.108
       423                     4660                       S2                    0.020                    0.068                    0.172                    0.074                    0.037                    0.040                    0.542                    0.069
       424                     4661                       S1                    0.069                    0.097                    0.493                    0.112                    0.079                    0.085                    0.544                    0.038
       425                     4662                       S1                    0.144                    0.206                    0.866                    0.275                    0.171                    0.205                    0.770                    0.117
       426                     4668                       S2                    0.021                    0.072                    0.180                    0.079                    0.046                    0.051                    0.996                    0.067
       427                     4674                       S1                    0.228                    0.236                    0.672                    0.321                    0.233                    0.288                    1.469                    0.242
       428                     4676                       S2                    1.237                    0.940                    0.779                    0.903                    1.058                    1.015                    1.515                    0.302
       429                     4682                       S1                    0.068                    0.291                    0.449                    0.300                    0.127                    0.132                    0.355                    0.061
       430                     4694                       S2                    0.169                    0.392                    0.470                    0.407                    0.301                    0.322                    1.463                    0.231
       431                     4696                       S2                    0.989                    0.773                    0.728                    0.766                    0.861                    0.848                    1.436                    0.186
       432                     4703                       S2                    1.161                    0.869                    0.599                    0.821                    0.962                    0.915                    2.129                    0.216
       433                     4708                       S1                    0.141                    0.465                    0.876                    0.505                    0.305                    0.335                    1.029                    0.110
       434                     4707                       S2                    0.068                    0.191                    0.274                    0.208                    0.135                    0.152                    1.175                    0.252
       435                     4710                       S1                    0.104                    0.208                    0.543                    0.270                    0.157                    0.197                    1.038                    0.227
       436                     4713                       S1                    0.028                    0.095                    0.219                    0.110                    0.046                    0.052                    0.358                    0.138
       437                     4717                       S1                    0.053                    0.197                    0.492                    0.242                    0.126                    0.157                    1.030                    0.181
       438                     4719                       S1                    0.044                    0.232                    0.575                    0.262                    0.137                    0.157                    0.986                    0.097
       439                     4728                       S2                    0.967                    0.739                    0.611                    0.727                    0.865                    0.854                    0.810                    0.108
       440                     4730                       S2                    0.152                    0.273                    0.213                    0.266                    0.197                    0.198                    0.583                    0.138
       441                     4732                       S1                    0.317                    0.638                    0.888                    0.692                    0.481                    0.531                    1.039                    0.275
       442                     4734                       S1                    0.016                    0.098                    0.341                    0.101                    0.037                    0.038                    0.335                    0.015
       443                     4735                       S2                    1.649                    0.956                    0.489                    0.892                    1.247                    1.184                    1.375                    0.158
       444                     4738                       S2                    0.034                    0.100                    0.166                    0.110                    0.069                    0.077                    1.103                    0.182
       445                     4739                       S2                    0.029                    0.075                    0.188                    0.082                    0.046                    0.049                    0.552                    0.064
       446                     4740                       S2                    1.054                    0.611                    0.987                    0.639                    0.825                    0.832                    1.066                    0.082
       447                     4742                       S1                    0.111                    0.393                    0.904                    0.411                    0.213                    0.221                    0.564                    0.035
       448                     4743                       S1                    0.053                    0.239                    0.533                    0.295                    0.145                    0.186                    0.979                    0.235
       449                     4745                       S1                    0.292                    0.635                    0.812                    0.653                    0.429                    0.446                    0.663                    0.117
       450                     4746                       S2                    0.064                    0.061                    0.208                    0.091                    0.063                    0.073                    0.379                    0.254
       451                     4747                       S2                    0.057                    0.111                    0.082                    0.105                    0.080                    0.080                    0.745                    0.266
       452                     4750                       S1                    0.229                    0.528                    0.875                    0.599                    0.392                    0.451                    1.192                    0.257
       453                     4752                       S1                    0.833                    1.098                    1.228                    1.118                    0.974                    0.997                    1.136                    0.185
       454                     4753                       S2                    0.027                    0.107                    0.161                    0.114                    0.075                    0.083                    1.504                    0.172
       455                     4754                       S2                    0.007                    0.088                    0.090                    0.088                    0.048                    0.052                    1.036                    0.180
       456                     4760                       S1                    0.018                    0.097                    0.568                    0.120                    0.040                    0.047                    0.372                    0.050
       457                     4761                       S1                    0.037                    0.181                    0.497                    0.225                    0.117                    0.147                    1.233                    0.159
       458                     4769                       S1                    0.052                    0.155                    0.171                    0.157                    0.087                    0.090                    0.515                    0.135
       459                     4771                       S2                    0.014                    0.077                    0.372                    0.107                    0.043                    0.058                    0.817                    0.110
       460                     4784                       S2                    0.028                    0.109                    0.191                    0.123                    0.068                    0.078                    0.955                    0.192
       461                     4787                       S1                    0.080                    0.293                    0.671                    0.311                    0.170                    0.181                    0.733                    0.051
       462                     4789                       S1                    0.020                    0.109                    0.928                    0.132                    0.044                    0.050                    0.356                    0.030
       463                     4791                       S2                    0.307                    0.488                    0.527                    0.498                    0.414                    0.432                    1.431                    0.334
       464                     4792                       S1                    0.060                    0.229                    0.547                    0.279                    0.145                    0.180                    1.021                    0.189
