ID                      S1G1nom         S1G2nom         S1G3nom         S2G1nom         S2G2nom         S2G3nom         S1BG1nom        S1BG2nom        S1BG3nom        S2BG1nom        S2BG2nom        S2BG3nom        dS1             dS2             dBS1            dBS2           
1863                    269.218         363.885         101.409          39.555         134.340          70.047        1534.341         564.955         191.104        1592.177         588.553         189.555          -0.580           0.308          -0.264          -0.269
1871                     57.008         116.572          30.906         158.725         250.463          66.170        2211.010         945.505         371.849        2367.247         991.754         382.065          -0.055          -0.077          -0.243          -0.250
1958                      2.831          18.556          13.960         483.419         523.548         108.018        1394.756         519.644         177.877        1503.226         552.760         177.670          -0.006          -0.116          -0.272          -0.279
1964                    162.348         762.162         999.768          44.536         104.133         112.462        1467.176         551.284         190.328        1592.048         580.992         188.367           0.024           0.014          -0.335          -0.347
1968                    133.214         361.400         251.537         396.407         732.258         425.313        1312.807         496.991         172.884        1445.064         530.055         171.330          -0.023          -0.048          -0.265          -0.277
1969                    488.954         501.610          57.840         136.132         183.700          56.305        1477.968         551.486         189.066        1589.656         585.998         190.407          -0.159          -0.120          -0.335          -0.344
2008                     32.803          68.712          35.327          29.629          63.833          38.398        1461.508         565.398         201.020        1596.710         618.900         204.746          -0.061          -0.053          -0.317          -0.323
2010                    481.676         747.565         241.447          19.767          65.814          46.826        1458.363         547.148         188.614        1552.159         592.304         189.223          -0.096          -0.025          -0.321          -0.324
2012                    178.850         320.907          70.538         802.653         784.468         141.852        1378.138         497.806         165.166        1415.170         534.528         164.990          -0.054          -0.111          -0.247          -0.245
2090                      0.025           5.238           0.040         260.199         382.961          86.635        1293.711         474.110         159.613        1391.064         509.522         156.250          -0.079          -0.069          -0.243          -0.248
2117                    277.797         397.332          95.888          15.329          91.104          33.412        1430.551         534.610         183.564        1562.251         579.338         182.660          -0.107          -0.015          -0.320          -0.328
2119                     97.483         297.591         228.543          -0.000          -0.000          -5.622        1524.946         551.585         183.261        1699.516         594.961         183.576          -0.024          -7.741          -0.330          -0.343
