                  NN                  ID                NAME          INSTRUMENT             LOCTYPE                DATE                TIME            DETECTOR           T100START                T100            T90START                 T90              T90ERR            T50START                 T50              T50ERR                S1G1                S1G2                S1G3               S1GE1               S1GE2               S1GE3                S2G1                S2G2                S2G3               S2GE1               S2GE2               S2GE3              FLNCNT           FLNCNTERR            CENTERRA           CENTERDEC              RADIUS           LCIRCULAR            CIRCULAR	S1BG1       S1BG2      S1BG3     S2BG1       S2BG2      S2BG3
                   1                  54                  --               BATSE                SPOT          1995-02-10            8424.148                  S1              -0.034               0.176              -0.020               0.138               0.032               0.002               0.060               0.013             933.850            2221.768             328.777             108.417             126.706              56.103              25.613              40.319               7.067              15.926              14.866               5.189               447.1                24.4              154.55              -27.48               1.150                  --                  --   1134.900    603.800    225.200   1155.900    627.900    175.300
                   2                  55                  --               BATSE                SPOT          1995-02-11            8697.749                  S2              -0.056               0.232              -0.018               0.114               0.048               0.008               0.030               0.006               5.305               7.856              22.828               4.803               6.038               6.492            1073.352            3257.979            1477.055              97.855             129.303              84.388              1096.6                35.8                9.51               52.65               1.080                  --                  --   1128.900    604.600    225.800   1148.200    620.900    175.100
                   3                 143                  --               BATSE                SPOT          1995-08-05           13454.144                  S1              -0.090               0.664              -0.044               0.602               0.021               0.000               0.096               0.095             295.204             655.026             339.859              45.908              42.902              28.983              16.534              22.777              33.586              13.783              15.279              11.743               649.5                34.1               79.86              -39.38               1.750                  --                  --   1108.400    570.800    219.600   1153.900    601.700    171.900
                   4                 238                  --               BATSE                SPOT          1996-03-19           51992.828                  S1              -0.162               0.520              -0.140               0.432               0.094              -0.070               0.170               0.110              30.560             492.769             441.500              24.994              46.787              36.295              13.016               9.509              11.620              10.538               7.746               6.870               484.1                30.8               94.84              -47.72               2.010                  --                  --   1145.300    645.500    243.500   1170.200    642.000    184.900
                   5                 340                  --               BATSE                SPOT          1996-08-03           67525.033                  S1              -0.024               0.066              -0.014               0.044               0.013              -0.002               0.016               0.008            1941.233            3614.442             634.412             216.142             252.989             114.892              16.643              30.657               4.053              12.456              13.847               3.504               278.5                18.3              338.02              -50.13               1.930                  --                  --   1142.100    609.800    236.800   1159.000    593.200    179.200
                   6                 383                  --               BATSE                SPOT          1996-10-17           40605.539                  S1              -0.154               1.144              -0.124               1.034               0.136              -0.014               0.418               0.311              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000              24.963              22.979              10.021              18.353              15.236               7.387               362.9                35.8               37.16              -10.68               2.890                  --                  --   1164.500    588.300    225.000   1159.400    580.900    171.500
                   7                 430                  --               BATSE                SPOT          1996-12-12           14870.487                  S2              -0.100               1.954               0.088               0.870               0.211               0.304               0.382               0.069              55.608             225.768             175.054              19.767              16.485              11.621             847.787            1524.259             537.400              32.171              32.858              19.040              4030.8                74.2              182.86               34.48               0.500                  --                  --   1119.100    574.300    222.500   1176.600    587.500    171.700
                   8                 459           GRB970228            BeppoSAX                SPOT          1997-02-28           10681.317                  S1              -0.458              56.648              -0.004              53.506               3.888               0.606              39.328               3.970              38.637              54.835               7.229               4.550               3.323               2.010               7.738              26.696               4.682               3.920               3.104               1.663              3509.1               219.9               75.49               11.77              -0.000                  --                  --   1134.200    570.600    222.100   1148.100    569.000    170.200
                   9                 515                  --               BATSE                SPOT          1997-07-04            4097.025                  S1              -0.028               0.212               0.014               0.088               0.009               0.030               0.024               0.004            5787.275           16194.374           10822.415             202.951             282.791             228.318             174.688             732.180             748.745              45.442              31.739              25.052              5725.6                77.0               74.82                 -16               4.140                  --                  --   2944.800    759.400    229.000   2867.100    750.700    175.100
                  10                 581                  --               BATSE                SPOT          1997-10-15           30459.796                  S2              -0.062               0.152              -0.030               0.094               0.030              -0.010               0.042               0.014              37.351              31.452              36.007              22.736              17.291              13.117             844.505            1648.426             667.700             114.840             119.910              74.228               350.1                21.4              279.99               18.62               1.360                  --                  --   1111.900    537.500    222.100   1160.100    537.100    169.800
                  11                 612           GRB971214            BeppoSAX                SPOT          1997-12-14           84052.214                  S2              -9.060              16.578              -9.060              15.906               1.112              -3.172               6.738               4.195              16.718              10.516               4.603               7.628               5.118               2.857             131.930             178.554              27.151               8.741               6.512               3.468              3408.7               122.3              179.12                65.2              -0.000                  --                  --   1135.600    531.100    223.100   1135.000    524.600    172.300
                  12                 614                  --               BATSE                SPOT          1997-12-18           52503.028                  S2              -0.260               1.090              -0.196               0.914               0.112               0.014               0.592               0.073              16.262               7.769              15.282              10.529               5.865               6.168             551.127             655.892             291.346              39.339              32.910              20.581              1031.8                42.2               41.62               61.47               0.950                  --                  --   1110.100    529.700    220.000   1138.800    526.800    171.200
                  13                 639                  --               BATSE                SPOT          1998-02-28           24244.602                  S2              -0.064               0.654               0.008               0.438               0.047               0.066               0.218               0.030             215.098             634.305             124.593              21.314              19.843              10.786            1108.923            2870.006             524.730              58.543              71.897              32.491              2229.4                51.7               24.51               13.43               4.670                  --                  --   1122.300    524.900    217.900   1139.400    521.000    167.800
                  14                 651                  --               BATSE                SPOT          1998-03-10           50261.054                  S1              -0.062               0.924              -0.030               0.796               0.107               0.054               0.584               0.048            1119.859             721.829              82.580              48.915              36.647              18.032              23.226              65.460              24.923              15.109              14.057               8.071               741.0                37.6              242.41              -60.47               1.240                  --                  --   1095.800    521.800    218.500   1140.900    516.300    168.200
                  15                 656           GRB980329            BeppoSAX                SPOT          1998-03-29           13479.436                  S2              -0.488              26.518               1.902              15.104               1.498               4.942               5.328               0.165              50.305             188.892              57.746               6.250               4.898               3.051             359.751             611.570             122.360               8.203               7.112               3.599             16640.8               186.7              105.67               38.83               0.100                  40                  --   1099.800    517.300    216.300   1144.900    519.400    167.300
                  16                 816                  --               BATSE                SPOT          1998-10-05           64826.466                  S2              -0.156               0.954              -0.116               0.834               0.079               0.016               0.526               0.076              16.725              12.226               9.209              12.372               8.750               6.245             181.267             503.528             202.837              37.186              31.834              19.404               669.6                35.4              275.24               44.05               1.220                  --                  --   1094.900    479.900    202.800   1140.700    465.300    157.100
                  17                 889                  --               BATSE                SPOT          1998-12-26           38822.991                  S1              -0.060               0.730              -0.024               0.630               0.062               0.050               0.352               0.189             412.381             901.885             137.527              45.109              43.134              21.062              95.183             118.293              14.833              14.366               9.933               5.187               755.5                34.9              267.15               -24.4               1.840                  --                  --   1077.100    460.000    187.200   1120.000    462.600    146.100
                  18                 907           GRB990123            BeppoSAX                SPOT          1999-01-23           35234.151                  S2             -20.256             114.398               1.438              62.112               1.584               7.854              26.128               1.036               0.756              30.282              33.344               0.727               2.733               2.112             373.959             511.305             188.923               4.038               3.447               2.347             79522.7               476.4              231.37               44.75              -0.000                 206                  --   1448.500    827.200    478.600   1491.600    847.800    441.000
                  19                 921                  --               BATSE                SPOT          1999-02-08           15166.066                  S1              -0.334               0.572              -0.308               0.528               0.034              -0.170               0.226               0.113              81.607             353.757             252.133              41.232              37.825              27.802              32.248              36.517              32.086              17.405              12.952               7.849               345.1                26.8               296.1               -39.4               2.290                  --                  --   1069.600    464.600    190.000   1113.600    466.900    149.300
                  20                 977           GRB990506            BeppoSAX                SPOT          1999-05-06           41010.813                  S1              -0.390             162.948               1.966             128.848               0.993              12.030              83.328               4.020             223.294             269.223              56.939               3.161               2.230               1.248              24.054              99.141              30.448               2.971               1.972               1.068             53178.9               416.2              178.67              -26.75              -0.000                  --                  --   1404.500    540.900    196.900   1431.100    542.000    157.600
                  21                 980           GRB990510            BeppoSAX                SPOT          1999-05-10           31750.059                  S1              -0.320              69.630               0.702              55.936              12.088              39.038               5.760               2.747             195.188             121.947              11.235               4.299               2.892               1.668               1.658               9.213               5.127               1.471               2.504               1.416              9228.5               232.4              204.53               -80.5              -0.000                 320                  --   1091.700    460.400    182.600   1114.000    453.000    142.700
                  22                1008           GRB990705            BeppoSAX                SPOT          1999-07-05           57686.864                  S1              -0.340              66.514               1.838              33.168               1.348               7.614              14.656               0.243             344.738             415.304              94.887               4.608               3.608               2.041               1.970               8.943               5.704               1.697               2.554               1.454             33935.9               275.7               77.38              -72.15              -0.000                 382                  --   1067.900    450.800    182.100   1115.100    453.300    143.700
                  23                1011           GRB990712            BeppoSAX                SPOT          1999-07-12           60186.123                  S1              -0.506              17.704              -0.014              15.100               2.484               1.854              10.000               0.784             238.393             125.693              11.738               8.774               5.733               3.352               5.924              15.654               2.537               4.481               4.795               1.814              2437.8               117.6              337.96               -73.4              -0.000                 385                  --   1124.800    456.200    187.700   1123.100    461.000    147.200
                  24                1103                  --               BATSE                SPOT          1999-10-07            6568.239                  S2              -0.512               0.914              -0.466               0.804               0.097              -0.264               0.350               0.138              44.692              50.153              43.864              18.728              12.784               8.493             103.458             248.772             153.809              35.855              27.298              17.730               367.3                29.7              234.18               -3.39               1.500                  --                  --   1058.700    431.200    168.500   1089.400    432.300    133.500
                  25                1163           GRB991216            BeppoSAX                SPOT          1999-12-16           58038.085                  S1             -17.477              44.643               0.686              14.528               0.204               3.278               4.704               0.223             742.422            1036.813             240.097               6.322               5.714               2.978             228.136             566.490             165.185               5.288               4.613               2.480             57003.8               287.6               79.88               11.18              -0.000                 505                  --   1041.800    420.600    155.900   1089.200    435.900    124.500
                  26                1205           GRB000115            SwiftXRT                SPOT          2000-01-15           53372.210                  S1              -0.218             159.192               0.734             110.624              20.763               9.006               5.360               0.151             105.505             100.551              15.138               2.687               1.815               1.033              48.318              33.777               7.214               2.674               1.714               0.902             18412.4               332.3               120.8               -17.1               0.300                 519                  --   1043.800    424.100    154.700   1109.200    441.900    124.500
                  27                1217           GRB000131                 IPN                 BOX          2000-01-31           53955.102                  S1             -80.663             108.693             -74.775              96.485               4.483             -18.839              27.525              18.835             156.037             110.318              16.902               3.324               2.211               1.255               5.653               6.034               1.471               2.869               2.005               0.875             13825.7               276.3             93.3863            -51.9269               0.150                 530                  --   1044.900    420.800    154.300   1087.300    438.000    122.000
                  28                1227           GRB000210            BeppoSAX                SPOT          2000-02-10           31445.712                  S1              -0.382              16.172               1.006               7.856               0.567               2.654               2.208               0.093             961.692            1129.333             273.743              11.157               9.794               5.138              33.865             150.154              78.749               7.351               5.337               3.130             22691.3               178.9               29.81              -40.67              -0.000                 783                  --   1051.700    422.200    153.300   1079.800    436.900    123.100
                  29                1230           GRB000214            BeppoSAX                SPOT          2000-02-14            3659.693                  S1              -0.336               7.934               0.122               6.180               1.284               0.862               2.800               0.114             331.522             543.980             108.223              13.213              10.981               5.644              17.139              56.715              12.624               9.603               7.440               3.823              5167.9                97.9              283.57              -66.45              -0.000                 561                  --   1054.000    412.900    144.600   1085.000    432.200    117.000
                  30                1248                  --               BATSE                SPOT          2000-03-24           18617.557                  S1              -0.496               0.982              -0.470               0.920               0.086              -0.244               0.388               0.241             227.651             225.946              22.530              36.034              25.558              11.972              80.834             113.860               7.051              19.883              13.664               4.815               241.4                28.2              207.02              -24.04               0.820                  --                  --   1047.400    415.500    147.000   1083.400    435.800    119.000
                  31                1274                  --               BATSE                SPOT          2000-03-26           19134.798                  S1              -0.136               1.110              -0.030               0.812               0.169               0.208               0.334               0.058            1294.109            1248.579              22.238              45.734              38.678              11.405             178.170             254.448              14.661              20.710              15.330               6.465              1410.4                45.0              333.36              -26.36               2.360                  --                  --   1031.700    415.000    147.200   1084.500    437.400    118.000
                  32                1292           GRB000418                 IPN                 BOX          2000-04-18           35589.906                  S2              -0.460              33.338               0.450              27.548               2.055               8.558              14.672               0.906              17.173              58.116               8.915               5.479               3.681               2.107             256.434             201.898              21.087               6.386               4.415               2.056              7433.0               162.3             186.338             20.0843               0.190                 642                  --   1053.300    420.700    148.000   1103.200    448.000    119.900
                  33                1307                  --               BATSE                SPOT          2000-05-13           40894.793                  S1              -0.098               0.316              -0.078               0.254               0.060              -0.042               0.126               0.048             208.403             631.584             187.192              62.693              57.635              32.627              13.674              17.923               4.257              10.795              10.499               3.481               256.9                20.9              338.91              -45.11               2.080                  --                  --   1036.900    418.100    149.200   1083.000    441.600    121.400
                  34                1428           GRB000911                 IPN                 BOX          2000-09-11           26125.914                  S1              -6.441             177.447               0.414              58.528              67.433               3.934              16.624               0.267              25.534              89.629              44.390               2.479               1.658               1.042               1.169              69.818              37.973               1.019               1.719               0.958             23697.1               347.2             34.6742             7.80837               0.177                 791                  --   1064.900    398.100    148.100   1127.300    461.100    126.900
                  35                1439           GRB000926                 IPN                 BOX          2000-09-26           85773.661                  S2             -12.953              66.583             -10.009              54.743              10.971               1.054              21.776               0.498               1.944               3.069               0.966               1.676               1.916               0.777             260.418             114.681               8.199               4.514               2.924               1.398              8186.2               215.8             256.063             51.7764               0.155                 801                  --   1045.100    398.800    144.000   1096.200    454.600    122.000
                  36                1498                  --                 IPN                 BOX          2001-01-04           62489.390                  S2              -0.494               0.758              -0.466               0.690               0.060              -0.200               0.268               0.083              24.947              28.932               3.098              15.508              11.863               2.777             573.362             419.700              34.001              47.102              34.458              14.341               342.1                28.4              267.44             18.2265               0.292                 910                  --   1094.100    408.500    150.100   1108.300    480.300    128.800
                  37                1519           GRB010222            BeppoSAX                SPOT          2001-02-22           26591.652                  S2             -98.212             172.642             -24.612              89.826              11.491               9.662              13.440               0.704               1.692              14.952               8.384               1.338               1.546               0.925             270.405             215.749              41.168               2.803               1.963               0.955             44222.8               376.9              223.05               43.02              -0.000                 960                  --   1031.400    400.400    140.300   1086.000    449.800    116.300
                  38                1668           GRB010921            BeppoSAX                SPOT          2001-09-21           18957.151                  S2              -9.999              25.293              -7.055              19.741               4.605               0.198               7.544               0.689               4.543              15.993               2.187               3.533               3.784               1.566             395.731             193.369              15.300               7.576               4.804               2.295              5274.7               134.6               343.9               40.93              -0.000                  --                  --   1006.700    363.400    142.300   1056.200    390.300    117.900
                  39                1710           GRB011121            BeppoSAX                SPOT          2001-11-21           67633.457                  S1              -9.204             142.578               2.526              57.120               5.502               7.902              12.912               0.555             287.534             225.471              57.515               3.227               2.099               1.474               5.904              25.632              19.371               2.763               1.865               1.313             40351.7               365.5              173.63              -76.03              -0.000                1149                  --   1196.800    403.000    252.200   1253.000    476.200    229.200
                  40                1780           GRB020405            BeppoSAX                SPOT          2002-04-05            2499.501                  S1              -0.508              64.826               2.526              40.480               2.926              11.598              17.424               0.493             331.183             288.390              26.177               4.575               3.128               1.611              72.141             142.137              21.332               3.992               2.730               1.402             20389.1               228.0              209.54              -31.39              -0.000                1325                  --   1025.800    345.800    142.000   1054.000    384.400    117.600
                  41                1863           GRB020813                HETE                SPOT          2002-08-13            9880.651                  S1             -22.172             180.378               0.282              96.676               8.732              15.022              70.672               0.866             163.092             125.649              20.019               2.597               1.732               1.147             164.187             133.607              21.328               2.627               1.780               1.084             26121.1               374.3              296.66              -19.59              -0.000                  --                  --   1053.900    415.300    217.400   1095.000    444.600    193.100
                  42                1871          GRB020819B                HETE                SPOT          2002-08-19           53859.766                  S2              -0.418               5.808              -0.274               5.392               0.391               0.316               3.282               0.987              80.052             103.915              10.289              14.195               9.297               5.418             201.123             216.022              22.287              18.491              12.728               7.368              1414.7                85.4              351.86                6.28              -0.000                  --                  --   1699.500    659.400    313.600   1785.400    725.200    296.500
                  43                1958           GRB021125            Integral                SPOT          2002-11-25           64707.665                  S2              -0.510              25.212               1.150              17.824               1.519               4.622               7.760               0.362               7.512              23.181               6.340               4.676               3.563               2.246             537.262             413.189              35.220               8.033               5.669               2.507             11309.1               156.3             296.987             28.3931               0.020                  --                  --   1027.500    350.600    145.300   1089.600    397.000    123.200
                  44                1964           GRB021201                 IPN                 BOX          2002-12-01           19803.858                  S1              -0.076               0.322              -0.048               0.276               0.027               0.002               0.142               0.025             324.033            1075.343             581.134              63.850              66.245              47.435              64.714             124.927              76.137              19.379              13.074               8.135               531.7                26.2             121.942             21.2383               0.062                1719                  --    988.700    337.700    143.400   1045.500    378.300    118.700
                  45                1969           GRB021211                HETE                SPOT          2002-12-11           40715.206                  S1              -0.500               2.098              -0.392               1.814               0.278              -0.108               0.874               0.137             566.619             309.471              10.262              27.270              17.547               6.663             166.382             149.307              16.358              20.331              13.449               6.647               667.5                40.8              122.25             6.73889               0.500                1734                  --    995.000    337.100    142.700   1050.500    383.200    119.600
                  46                2008                  --            Integral                SPOT          2003-03-20           36719.301                  S1              -6.915              87.233              -3.971              66.177              16.246               2.926              34.448               0.799              46.903              67.971              13.630               3.480               2.218               1.375              42.407              65.795              16.692               3.586               2.336               1.283              7127.1               227.6               267.9            -25.3144               0.050                  --                  --   1009.300    361.000    151.300   1093.300    416.200    128.600
                  47                2010                  --                 IPN                 BOX          2003-03-25           51309.994                  S1              -0.504               3.254              -0.142               2.092               0.331               0.830               0.464               0.060             619.471             637.379              73.044              22.305              17.407               8.098              34.249              75.473              20.172              13.367               8.960               4.821              2312.6                62.4               70.75            -19.1023               1.273                1965                  --   1000.400    349.200    140.500   1064.300    397.200    116.700
                  48                2012           GRB030329                HETE                SPOT          2003-03-29           41849.254                  S2             -12.708              69.730               1.278              21.824               1.660               3.406              11.168               0.077             232.654             282.318              24.562               4.258               2.990               1.520             859.924             625.173              52.331               5.276               3.836               1.551             47283.9               288.6              161.21               21.52              -0.000                  --                2026   1048.300    349.400    138.600   1081.100    400.900    115.500
                  49                2090                  --                 IPN                 BOX          2003-07-14           80091.492                  S2              -0.498               2.272              -0.384               1.870               0.375               0.144               0.590               0.224              10.575               8.358               3.732               7.976               5.624               2.879             315.520             332.005              33.275              24.554              17.708               7.957               832.4                44.1             226.591             19.9673               6.378                2303                  --    989.000    338.000    132.500   1055.500    381.100    110.700
                  50                2117                  --                 IPN                 BOX          2003-09-03           56599.217                  S1              -0.506               1.560              -0.426               1.400               0.119              -0.066               0.720               0.153             352.311             314.450              24.207              29.237              20.482               9.954              38.157              95.056               8.467              18.082              12.790               5.246               531.0                35.6             297.663             -44.334               9.086                2378                  --    982.900    340.800    137.500   1061.500    386.500    113.700
                  51                2119                  --                 IPN                 BOX          2003-09-16           79158.381                  S1              -0.512               0.512              -0.498               0.482               0.025              -0.424               0.340               0.048             161.577             344.300             108.980              48.230              36.644              21.950              42.792               4.887               4.021              14.000               4.051               2.955               230.5                21.8             130.929            -48.8993               2.476                2387                  --   1032.800    343.200    137.700   1123.800    389.600    115.800
                  52                2125                  --                 IPN                 BOX          2003-09-26           60747.273                  S2              -0.158               0.238              -0.138               0.198               0.033              -0.082               0.098               0.026              17.696              12.000               9.622              12.606               8.125               5.948             188.993             616.785             302.130              71.408              65.214              42.289               216.9                18.4             172.368             42.9013               5.930                2405                  --   1002.900    350.400    147.900   1054.100    395.400    123.500
                  53                2156                  --                 IPN                 BOX          2003-10-26            5187.284                  S1              -0.052               0.246              -0.040               0.218               0.032              -0.024               0.104               0.065             601.883             584.800             147.802              81.716              62.143              34.565              33.951              35.106              17.575              17.768              12.350               6.871               178.4                17.4             338.268            0.114294               4.495                2437                  --   1040.800    365.200    146.100   1121.400    421.900    126.200
                  54                2191                  --                 IPN                 BOX          2003-12-14           36655.479                  S2              -0.124               5.050               0.020               0.314               0.008               0.082               0.190               0.004             301.474             622.948             491.651              12.560              10.346               8.577             635.848            1453.618            1105.274              18.760              19.177              15.661             12838.9               124.7             245.474            -11.5098               0.311                2492                  --   1091.800    322.500    158.100   1142.200    404.300    133.800
                  55                2250                  --               Swift                 BOX          2004-04-03           84236.367                  S2              -0.264               0.580              -0.226               0.490               0.073              -0.078               0.212               0.057               8.911              34.398              32.918               7.746              11.136               7.809             171.362             450.021             194.379              46.434              38.138              23.356               372.1                25.9                 200                  15              31.647                2566                2566    988.300    333.600    146.600   1080.200    393.600    122.000
                  56                2272                  --                HETE                SPOT          2004-05-12           69813.520                  S2              -0.092               1.754              -0.008               1.478               0.131               0.236               0.802               0.086              13.221              65.108              38.135               9.162               8.274               5.698             273.025             905.310             389.345              27.738              27.223              17.141              2264.0                56.3               230.2                10.4              -0.000                  --                  --    991.400    338.000    153.000   1078.000    396.000    126.600
                  57                2347                  --                 IPN                 BOX          2004-08-02           64946.400                  S1              -0.442               1.336              -0.390               1.220               0.100              -0.072               0.526               0.130             508.265             383.922              16.748              33.753              23.576               9.910              69.212             118.754              10.219              19.890              13.413               6.044               526.7                34.9             283.126              -42.66               0.241                2637                  --   1016.100    359.800    165.100   1098.500    410.900    141.100
                  58                2386           GRB040924                HETE                SPOT          2004-09-24           42735.280                  S2              -0.308               0.994              -0.242               0.800               0.149              -0.022               0.344               0.080             380.352             162.079               8.687              21.493              13.156               5.760             878.603             559.499              27.719              44.256              30.881              12.311               581.7                33.1             31.5792             16.0239               0.107                2735                2754    979.600    347.500    161.400   1072.200    390.300    133.600
